account_id,customer_id,account_type,balance,status
A00001,C06589,Savings,650733.11,Active
A00002,C09314,Current,954648.86,Active
A00003,C03172,Investment,271719.07,Active
A00004,C01415,Investment,4878.33,Active
A00005,C03775,Savings,662386.67,Active
A00006,C05763,Current,130376.74,Active
A00007,C07469,Savings,703755.73,Active
A00008,C00500,Savings,960202.94,Active
A00009,C04380,Investment,340260.71,Active
A00010,C02111,Current,805256.41,Active
A00011,C02001,Savings,610450.16,Active
A00012,C05484,Savings,901066.61,Active
A00013,C05427,Investment,995853.55,Inactive
A00014,C00378,Investment,929817.92,Inactive
A00015,C08455,Current,16919.66,Active
A00016,C04720,Investment,29651.24,Active
A00017,C02981,Current,13780.93,Active
A00018,C04923,Current,264226.52,Closed
A00019,C06540,Investment,979750.52,Closed
A00020,C00683,Investment,579992.24,Active
A00021,C01367,Investment,503173.78,Active
A00022,C08275,Current,436215.94,Closed
A00023,C04254,Savings,36241.88,Inactive
A00024,C05395,Investment,841156.63,Active
A00025,C02205,Savings,515308.51,Active
A00026,C08334,Investment,443354.71,Inactive
A00027,C05695,Current,697559.70,Inactive
A00028,C03894,Savings,206797.58,Active
A00029,C00860,Current,647507.17,Inactive
A00030,C02262,Investment,24007.07,Active
A00031,C01601,Investment,868268.02,Active
A00032,C00150,Current,482512.41,Active
A00033,C07328,Savings,753911.67,Active
A00034,C03512,Investment,17659.65,Active
A00035,C04201,Investment,587276.56,Closed
A00036,C05287,Investment,246645.99,Active
A00037,C09332,Current,308731.67,Active
A00038,C02000,Current,460141.84,Active
A00039,C00783,Current,234125.08,Active
A00040,C09189,Savings,588935.43,Inactive
A00041,C06699,Current,215837.81,Active
A00042,C09248,Current,728984.14,Active
A00043,C06453,Current,8818.71,Active
A00044,C08365,Investment,404608.09,Active
A00045,C06781,Current,380617.85,Active
A00046,C09716,Savings,368192.40,Active
A00047,C08763,Investment,186385.73,Inactive
A00048,C08611,Savings,717187.24,Inactive
A00049,C01816,Investment,219115.46,Active
A00050,C03436,Savings,437352.80,Active
A00051,C05618,Current,535642.65,Active
A00052,C06921,Current,906741.27,Active
A00053,C08232,Savings,611201.03,Active
A00054,C05308,Investment,219592.07,Closed
A00055,C04600,Investment,326128.33,Active
A00056,C05485,Savings,80270.07,Active
A00057,C03288,Savings,937690.65,Active
A00058,C05647,Investment,787504.31,Active
A00059,C02600,Investment,700320.20,Active
A00060,C08806,Investment,457896.65,Active
A00061,C01055,Investment,636477.40,Closed
A00062,C06321,Investment,887435.26,Inactive
A00063,C07022,Current,323907.31,Active
A00064,C01931,Investment,619199.82,Active
A00065,C05483,Savings,268952.60,Active
A00066,C05215,Savings,767735.63,Active
A00067,C07141,Current,886833.86,Active
A00068,C07219,Investment,599252.91,Active
A00069,C00131,Savings,566158.80,Active
A00070,C08263,Savings,61964.53,Active
A00071,C03141,Savings,86775.63,Active
A00072,C09431,Current,652555.47,Active
A00073,C04601,Savings,127126.45,Active
A00074,C08872,Investment,215751.53,Active
A00075,C09834,Savings,480117.76,Active
A00076,C00800,Investment,628801.09,Active
A00077,C07142,Investment,694463.68,Closed
A00078,C08293,Savings,275319.71,Active
A00079,C03221,Current,553995.23,Active
A00080,C05467,Savings,439194.94,Active
A00081,C08635,Current,400844.88,Active
A00082,C01710,Current,326969.71,Active
A00083,C00259,Current,245803.35,Active
A00084,C06439,Savings,615439.20,Active
A00085,C04380,Investment,824870.71,Active
A00086,C02258,Current,136896.99,Active
A00087,C03379,Current,925253.64,Inactive
A00088,C04898,Investment,573812.20,Active
A00089,C02510,Investment,531184.90,Closed
A00090,C06698,Current,739146.98,Inactive
A00091,C02516,Investment,365066.33,Active
A00092,C01401,Current,969880.13,Active
A00093,C03564,Investment,246654.25,Active
A00094,C08145,Current,340843.92,Active
A00095,C02274,Savings,914271.65,Active
A00096,C06829,Current,218326.58,Active
A00097,C06516,Current,641706.38,Active
A00098,C06479,Savings,446365.22,Active
A00099,C00367,Current,830305.87,Active
A00100,C09218,Investment,569948.47,Active
A00101,C08272,Savings,456628.74,Active
A00102,C01123,Savings,573014.04,Active
A00103,C04898,Savings,793671.98,Active
A00104,C02707,Current,206802.65,Active
A00105,C04516,Investment,541956.17,Active
A00106,C04007,Investment,780842.91,Active
A00107,C09345,Current,272841.19,Active
A00108,C05743,Current,780351.83,Active
A00109,C00602,Current,19723.31,Active
A00110,C04315,Investment,793997.72,Active
A00111,C05013,Savings,984006.52,Active
A00112,C07713,Investment,493136.56,Active
A00113,C06727,Investment,175546.62,Active
A00114,C00044,Investment,266365.86,Active
A00115,C00881,Current,405510.42,Inactive
